Row Type,Status,Sync errors,Advertiser,Engine,Account,Authorization status,Last authorization status update time,Campaign,Engine status,Daily budget,Engine bid strategy name,Clicks,Impr,Cost,CTR,Avg CPC,Avg pos,,BU,CHANNEL
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
,,,,,,,,,,,,,,,,,,,#N/A,#N/A
